Last name,First name,Email,State,Birthdate,Dependent of,HR Admin
Wachowski,Jenkins,jenkins.wachowski5428@aol.com,CT,11/11/1974,,x
Uvula,Plato,plato.uvula9417@compuserve.net,NY,02/17/1984,,x
Schtuppering,Leonard,leonard.schtuppering1050@hotmail.com,NY,05/13/1967,,x
Mueller,Xerxes,xerxes.mueller9574@aol.com,NY,10/17/1966,Leonard Schtuppering,
Xylowitz,Bob,bob.xylowitz3794@hotmail.com,AK,10/22/1979,,x
Xylowitz,Nellie,nellie.xylowitz3129@compuserve.net,AK,08/15/1961,Bob Xylowitz,
Lysenko,Uruguay,uruguay.lysenko7010@compuserve.net,WA,11/04/1980,,x
Uvula,Evander,evander.uvula3420@hotmail.com,NY,10/09/1964,,
Oppenheimer,Gilbert,gilbert.oppenheimer662@aol.com,NY,10/09/1989,,
Atkins,Leonard,leonard.atkins2347@aol.com,CT,12/09/1991,,
Kittering,Queenie,queenie.kittering3161@aol.com,WA,08/06/1962,,
Vluffernutter,Uruguay,uruguay.vluffernutter6579@aol.com,CT,09/10/1967,,
Uvula,Evander,evander.uvula9970@compuserve.net,NJ,06/23/1987,,
Atkins,Vova,vova.atkins2367@hotmail.com,NJ,04/16/1985,Evander Uvula,
Yoo,Alice,alice.yoo1187@hotmail.com,NY,08/26/1975,,
Evans,Wolfgang,wolfgang.evans8317@hotmail.com,CA,10/14/1976,,
Uvula,Horace,horace.uvula9422@compuserve.net,VA,12/14/1975,,
Jenkins,Maurice,maurice.jenkins2403@compuserve.net,OK,11/10/1966,,
Ivanisevic,Alice,alice.ivanisevic946@hotmail.com,WA,03/12/1985,,
Jenkins,Alice,alice.jenkins1393@compuserve.net,NY,12/26/1955,,
Yoo,Alice,alice.yoo9896@aol.com,IL,07/16/1983,,
Vluffernutter,Vova,vova.vluffernutter2245@hotmail.com,NY,07/08/1957,,
Rosencrantz,Zanzibar,zanzibar.rosencrantz9152@compuserve.net,AK,08/12/1981,,
Mueller,Nellie,nellie.mueller7570@aol.com,CA,10/26/1968,,
Codd,Dirk,dirk.codd4396@aol.com,NY,08/10/1987,,
Djokovic,Klamut,klamut.djokovic6318@aol.com,NY,09/08/1958,,
Zaatar,Smitty,smitty.zaatar6689@compuserve.net,NY,06/07/2012,Klamut Djokovic,
Evans,Leonard,leonard.evans3784@compuserve.net,NY,02/09/1986,,
Rosencrantz,Dirk,dirk.rosencrantz3996@compuserve.net,NY,12/31/1983,,
Neuberg,Nellie,nellie.neuberg7616@hotmail.com,WA,10/28/1955,,
Hibbert,Xerxes,xerxes.hibbert3464@aol.com,WA,05/02/2006,Nellie Neuberg,
Vluffernutter,Fred,fred.vluffernutter7813@aol.com,CA,05/18/1967,,
Talts,Tessa,tessa.talts1025@compuserve.net,NY,06/08/1962,,
Questlove,Plato,plato.questlove4102@hotmail.com,CT,12/25/1984,,
Lysenko,Dirk,dirk.lysenko4626@aol.com,NY,10/08/1989,,
Codd,Alice,alice.codd4001@aol.com,CA,08/28/1958,,
Greenblatt,Fred,fred.greenblatt3365@hotmail.com,WA,07/28/1992,,
Wachowski,Queenie,queenie.wachowski3317@hotmail.com,WA,06/20/1967,,
Jenkins,Gilbert,gilbert.jenkins1605@hotmail.com,CT,11/27/1977,,
Greenblatt,Queenie,queenie.greenblatt9221@compuserve.net,VA,04/01/1976,,
